id_rh,anio,vmae,vaeas,dma,p,prec,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
5,2008,53.454,1.535,46.576,46.57396849391794,255.5963,B.C. Centro-Este,13626,101.33253262,53.5,0,53.5,15
5,2009,53.454,1.535,46.576,46.57396849391794,253.97655,B.C. Centro-Este,13626,101,53.5,0,53.5,15
5,2010,53.454,1.535,46.576,46.57396849391794,99.59355,B.C. Centro-Este,13626,101,53.454,0,53.454,15
5,2011,100.924,1.8704166666666666,88.774,88.85482636609275,80.80977100000001,B.C. Centro-Este,13626,131.82,101,0,101,15
5,2012,100.92399999999999,1.8704166666666666,88.774,88.85482636609274,149.8594515,B.C. Centro-Este,13626,131.82,100.9,0,100.9,15
5,2013,100.92399999999999,2.059,88.774,88.74848086678416,180.78,B.C. Centro-Este,13626,131.82,100.93,0,100.93,15
5,2014,100.92399999999999,2.059,88.774,88.74848086678416,194.1,B.C. Centro-Este,13626,131.82,100.9,0,100.9,15
5,2015,100.92399999999999,2.059,88.774,88.74848086678416,277.3,B.C. Centro-Este,13626,131.82,100.9,0,100.9,15
5,2016,95.20199999999998,2.066,83.613,83.62522924285528,170.83999999999997,B.C. Centro-Este,13626,132,95.201549464597,0,95.201549464597,15
5,2017,95.202,2.066,83.613,83.6252292428553,139.5,B.C. Centro-Este,13626,132,95.201549464597,0,95.201549464597,15
5,2018,95.202,2.066,83.613,83.6252292428553,100.505,B.C. Centro-Este,13626,131.82,95.201549464598,0,95.201549464598,15
5,2019,95.202,2.066,83.613,83.6252292428553,65.52795550978504,B.C. Centro-Este,13626,132,95.201549464598,0,95.201549464598,15
5,2020,103.376,1.864,91.174,91.0521767325336,59.0900070320978,NA,NA,NA,NA,0,NA,NA
5,2021,74.56783152700028,1.864,NA,65.27836026313767,53.726308856903714,NA,NA,NA,NA,0,NA,NA
5,2022,67.11036249758877,1.864,NA,58.60638324139809,51.361342973099774,NA,NA,NA,NA,0,NA,NA
5,2023,62.97215742278302,1.864,NA,54.90405352853453,50.04624469569508,NA,NA,NA,NA,0,NA,NA
6,2005,209.358,12.942,175.48000000000002,175.54074195575015,163.1338,NA,NA,NA,NA,0,NA,NA
6,2006,209.35799999999998,12.942,175.48000000000002,175.54074195575012,362.0872,B.C. Sureste,11558,176.0460465,218.5,0,218.5,0
6,2007,209.35799999999998,12.942,175.48000000000002,175.54074195575012,230.4246,B.C. Sureste,11558,284.6794797,218.5,0,218.5,14
6,2008,209.35799999999998,12.942,175.48000000000002,175.54074195575012,234.6522,B.C. Sureste,11558,274.08008232,218.5,0,218.5,14
6,2009,209.358,12.942,175.48000000000002,175.54074195575015,258.69635,B.C. Sureste,11558,274,218.5,0,218.5,14
6,2010,209.35799999999998,12.942,175.48000000000002,175.54074195575012,125.9233,B.C. Sureste,11558,274,218.503,0,218.503,14
6,2011,209.35799999999998,13.882249999999999,175.48000000000002,175.243933750422,83.465078,B.C. Sureste,11558,290.66,219,0,219,14
6,2012,209.358,13.882249999999999,175.48000000000002,175.24393375042203,353.170237,B.C. Sureste,11558,290.66,218.5,0,218.5,14
6,2013,188.746,13.869,156.002,155.93570924843317,218.315,B.C. Sureste,11558,290.66,218.5,0,218.5,14
6,2014,188.746,13.869,156.002,155.93570924843317,416.3,B.C. Sureste,11558,290.66,199.5,0,199.5,14
6,2015,188.746,13.869,156.002,155.93570924843317,317.9,B.C. Sureste,11558,290.66,199.5,0,199.5,14
6,2016,175.478,14.597,143.331,143.2744533259793,226.19,B.C. Sureste,11558,291,185.736699908789,0,185.736699908789,14
6,2017,175.478,14.597,143.331,143.2744533259793,247,B.C. Sureste,11558,291,185.736699908789,0,185.736699908789,14
6,2018,175.478,14.597,143.331,143.2744533259793,298.63,B.C. Sureste,11558,290.66,185.736699908789,0,185.736699908789,14
6,2019,175.478,14.597,143.331,143.2744533259793,189.369113111723,B.C. Sureste,11558,291,185.736699908789,0,185.736699908789,14
6,2020,187.279,14.824,153.727,154.25973971543894,181.350594924653,NA,NA,NA,NA,0,NA,NA
6,2021,174.07299263235538,14.824,NA,141.8863751344343,183.26252625913,NA,NA,NA,NA,0,NA,NA
6,2022,171.1677589604024,14.824,NA,139.16431733033536,182.570716092675,NA,NA,NA,NA,0,NA,NA
6,2023,170.43870408454234,14.824,NA,138.4812295864441,182.805774057683,NA,NA,NA,NA,0,NA,NA
7,2005,79.95,1805.801,116.39,57.63706865434756,99.5515,NA,NA,NA,NA,0,NA,NA
7,2006,79.95,1805.801,116.39,131.33887187926513,40.64445,Río Colorado,6911,250.8298837,13,1850,1863,0
7,2007,79.95,1805.801,116.39,131.33887187926513,121.08135000000001,Río Colorado,6911,100.2810022,13.4,1850,1863.4,1
7,2008,79.95,1805.801,116.39,131.33887187926513,183.65879999999999,Río Colorado,6911,106.78361532,13.4,1850,1863.4,1
7,2009,79.95,1805.801,116.39,131.33887187926513,136.50895,Río Colorado,6911,107,13.4,1850,1863.6,1
7,2010,79.95,1805.801,116.39,131.33887187926513,149.14695,Río Colorado,6911,107,79.95,1850,1930.15,4
7,2011,78.096,1755.128888888889,191.15699999999998,166.1112630190865,135.384025,Río Colorado,6911,98.39,78,1850,1928,4
7,2012,78.096,1755.128888888889,191.15699999999998,166.1112630190865,104.1357035,Río Colorado,6911,98.39,78.1,1850,1928.3,4
7,2013,78.096,1729.365,191.155,183.6087434834381,152.315,Río Colorado,6911,98.39,77.9,1850,1928.1,4
7,2014,78.096,1729.365,191.155,183.6087434834381,83,Río Colorado,6911,98.39,77.9,1850,1928.1,4
7,2015,78.096,1729.365,191.155,183.6087434834381,75.44999999999999,Río Colorado,6911,98.39,77.9,1850,1928.1,4
7,2016,71.755,1729.706,185.107,184.60347102879592,145.28,Río Colorado,6911,98,71.754718280881,1850,1921.95471828088,4
7,2017,71.755,1729.706,185.107,184.60347102879592,102.80000000000001,Río Colorado,6911,98,71.754718280881,1850,1921.95471828088,4
7,2018,71.755,1729.706,185.107,184.60347102879592,110.125,Río Colorado,6911,98.39,71.754718280882,1850,1921.95471828088,4
7,2019,71.755,1729.706,185.107,184.60347102879592,78.2103394056018,Río Colorado,6911,98,71.754718280882,1850,1921.95471828088,4
7,2020,77.374,1730.538,50.497,109.24993134565148,79.01287807444055,NA,NA,NA,NA,0,NA,NA
7,2021,77.69051810085656,1730.538,NA,109.18871837024676,81.92091821429679,NA,NA,NA,NA,0,NA,NA
7,2022,80.90039367969196,1730.538,NA,108.5679449158149,85.3055777737874,NA,NA,NA,NA,0,NA,NA
7,2023,84.40651833808805,1730.538,NA,107.8898784106168,89.00261775254936,NA,NA,NA,NA,0,NA,NA
8,2005,176.225,52.874,0,0,290.2814,NA,NA,NA,NA,0,NA,NA
8,2006,176.225,52.874,0,0,271.4897,Sonora Norte,61429,428.8245236,139,0,139,0
8,2007,176.225,52.874,0,0,509.2741,Sonora Norte,61429,301.150639,139,0,139,5
8,2008,176.225,52.874,0,0,236.7617,Sonora Norte,61429,303.81974959,139,0,139,5
8,2009,176.225,52.874,0,0,164.4005,Sonora Norte,61429,304,139,0,139,5
8,2010,176.225,52.874,0,0,314.7749,Sonora Norte,61429,304,138.99,0,138.99,5
8,2011,176.22500000000002,58.119,0,0,255.591499,Sonora Norte,61429,297.05,139,0,139,5
8,2012,177.4703076923077,58.119,0,0,345.931004,Sonora Norte,61429,297.05,132.2,0,132.2,5
8,2013,169.385,52.874,0,0,269.2,Sonora Norte,61429,297.05,139,0,139,5
8,2014,169.385,52.874,0,0,431.1,Sonora Norte,61429,297.05,132.2,0,132.2,5
8,2015,169.385,52.874,0,0,428.7,Sonora Norte,61429,297.05,132.2,0,132.2,5
8,2016,180.305,65.637,0,0,308.35,Sonora Norte,61429,297,180.305470615999,0,180.305470615999,9
