CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
MALCP,"MALPASO (NEZAHUALC”YOTL), CHIS.",1994-2016,,TECPAT¡N,CHIAPAS,FRONTERA SUR,CHAPOPOTE,,,,,,,,,,,,,17.22,-93.66
MAROX,"MARÕA LOMBARDO, OAX.",2000-2016,,SANTIAGO YAVEO,OAXACA,GOLFO CENTRO,RÕO TRINIDAD,,,,,,,,,,,,,17.54,-95.55
NGRAG,"EL NIAGARA, AGS.",1994-2016,,JES⁄S MARÕA,AGUASCALIENTES,LERMA-SANTIAGO-PACÕFICO,RÕO JUCHIPILA 1,,,,,,,,,,,,,21.84,-102.48
NRJSL,"NARANJOS, S.L.P.","1994, 1996-2016",,EL NARANJO,SAN LUIS POTOSÕ,GOLFO NORTE,RÕO EL SALTO,,,,,,,,,,,,,22.56,-99.34
PAGDR,"PE—A DEL ¡GUILA, DGO.",1994-2016,,DURANGO,DURANGO,PACÕFICO NORTE,RÕO DURANGO,,,,,,,,,,,,,24.26,-104.68
PDNSO,"PASO NACORI, SON.",1994-2016,,N¡CORI CHICO,SONORA,NOROESTE,RÕO YAQUI 1,,,,,,,,,,,,,29.43,-109.08
PECSO,"PLUTARCO ELÕAS CALLES, SON.",1994-2016,,SAN PEDRO DE LA CUEVA,SONORA,NOROESTE,RÕO YAQUI 1,,,,,,,,,,,,,29.05,-109.7
PNLGJ,"PE—UELITAS, GTO.",1994-2016,,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,GUANAJUATO,LERMA-SANTIAGO-PACÕFICO,RÕO LA LAJA 1,,,,,,,,,,,,,21.13,-100.92
POLJL,"LUGO SANABRIA (P”LVORA), JAL.",1994-2016,,DEGOLLADO,JALISCO,LERMA-SANTIAGO-PACÕFICO,RÕO LERMA 7,,,,,,,,,,,,,20.5,-102.2
PRQHD,"REQUENA, HGO.",1994-2016,,TULA DE ALLENDE,HIDALGO,VALLE DE M…XICO,PRESA ENDHO,,,,,,,,,,,,,20.04,-99.35
PSANL,"SALINILLAS, N.L.",1994-2016,,AN¡HUAC,NUEVO LE”N,RÕO BRAVO,RÕO SALADO,,,,,,,,,,,,,27.45,-100.38
PTRAG,"POTRERILLOS, AGS.",1994-2016,,SAN JOS… DE GRACIA,AGUASCALIENTES,LERMA-SANTIAGO-PACÕFICO,RÕO SAN PEDRO,,,,,,,,,,,,,22.26,-102.45
PTRDF,"P. T. ROSARIO, D.F.",1994-2016,,ATIZAP¡N DE ZARAGOZA,M…XICO,VALLE DE M…XICO,CIUDAD DE M…XICO,,,,,,,,,,,,,19.56,-99.23
REVCP,"REVOLUCI”N MEXICANA, CHIS.","1996-2006, 2008-2016",,HUIMANGUILLO,TABASCO,FRONTERA SUR,TANCOCHAPA ALTO,,,,,,,,,,,,,17.42,-93.57
RODMR,"EL RODEO, MOR.",1994-2016,,MIACATL¡N,MORELOS,BALSAS,RÕO AMACUZAC,,,,,,,,,,,,,18.8,-99.4
RSRNR,"REG. SAN RAFAEL, NAY.",1995-2016,,TEPIC,NAYARIT,LERMA-SANTIAGO-PACÕFICO,RÕO SANTIAGO 6,,,,,,,,,,,,,21.8,-104.8
