id_rh,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas,anio
26,Pánuco,96989,854.870000000000,19672.900000000000,,19672.900000000000,77,2012
27,Norte de Veracruz (Tuxpan-Nautla),26592,1422.320000000000,14307.000000000000,,14307.000000000000,12,2012
28,Papaloapan,57355,1440.170000000000,48176.500000000000,,48176.500000000000,18,2012
29,Coatzacoalcos,30217,2211.230000000000,40068.000000000000,,40068.000000000000,15,2012
30,Grijalva-Usumacinta,102465,1703.110000000000,73315.800000000000,44080,117396.000000000000,83,2012
31,Yucatán Oeste,25443,1175.220000000000,706.800000000000,,706.800000000000,2,2012
32,Yucatán Norte,58135,1143.120000000000,0.000000000000,,0.000000000000,0,2012
33,Yucatán Este,38308,1210.340000000000,1108.800000000000,864,1973.200000000000,1,2012
34,Cuencas Cerradas del Norte,90829,298.380000000000,1701.300000000000,,1701.300000000000,22,2012
35,Mapimí,62639,291.760000000000,568.400000000000,,568.400000000000,6,2012
36,Nazas-Aguanaval,93032,393.100000000000,1911.600000000000,,1911.600000000000,16,2012
37,El Salado,87801,392.580000000000,2876.200000000000,,2876.200000000000,8,2012
1,B.C. Noroeste,28492,208.980000000000,359.000000000000,,359.000000000000,16,2011
2,B.C. Centro-Oeste,44314,116.440000000000,251.000000000000,,251.000000000000,16,2011
3,B.C. Suroeste,29722,200.130000000000,362.000000000000,,362.000000000000,15,2011
4,B.C. Noreste,14418,150.630000000000,122.000000000000,,122.000000000000,8,2011
5,B.C. Centro-Este,13626,131.820000000000,101.000000000000,,101.000000000000,15,2011
6,B.C. Sureste,11558,290.660000000000,219.000000000000,,219.000000000000,14,2011
7,Río Colorado,6911,98.390000000000,78.000000000000,1850,1928.000000000000,4,2011
8,Sonora Norte,61429,297.050000000000,139.000000000000,,139.000000000000,5,2011
9,Sonora Sur,139370,482.690000000000,4935.000000000000,,4935.000000000000,16,2011
10,Sinaloa,103483,747.420000000000,14350.000000000000,,14350.000000000000,23,2011
11,Presidio-San Pedro,51717,819.020000000000,8299.000000000000,,8299.000000000000,23,2011
12,Lerma-Santiago,132916,717.120000000000,13211.000000000000,,13211.000000000000,59,2011
13,Río Huicicila,5225,1399.550000000000,1277.000000000000,,1277.000000000000,6,2011
14,Río Ameca,12255,1062.510000000000,2236.000000000000,,2236.000000000000,9,2011
15,Costa de Jalisco,12967,1143.540000000000,3684.000000000000,,3684.000000000000,11,2011
16,Armería-Coahuayana,17628,865.590000000000,3986.000000000000,,3986.000000000000,10,2011
17,Costa de Michoacán,9205,943.780000000000,1612.000000000000,,1612.000000000000,6,2011
18,Balsas,118268,947.020000000000,17057.000000000000,,17057.000000000000,15,2011
19,Costa Grande de Guerrero,12132,1214.640000000000,6091.000000000000,,6091.000000000000,28,2011
20,Costa Chica de Guerrero,39936,1281.770000000000,18714.000000000000,,18714.000000000000,32,2011
21,Costa de Oaxaca,10514,950.520000000000,3389.000000000000,,3389.000000000000,19,2011
22,Tehuantepec,16363,883.750000000000,2606.000000000000,,2606.000000000000,15,2011
23,Costa de Chiapas,12293,2220.310000000000,12617.000000000000,1586,14203.000000000000,25,2011
24,Bravo-Conchos,229740,399.330000000000,5588.000000000000,-432,5156.000000000000,37,2011
25,San Fernando-Soto la Marina,54961,702.570000000000,4842.000000000000,,4842.000000000000,45,2011
26,Pánuco,96989,854.870000000000,19673.000000000000,,19673.000000000000,77,2011
27,Norte de Veracruz (Tuxpan-Nautla),26592,1422.320000000000,14307.000000000000,,14307.000000000000,12,2011
28,Papaloapan,57355,1440.170000000000,48177.000000000000,,48177.000000000000,18,2011
29,Coatzacoalcos,30217,2211.230000000000,40068.000000000000,,40068.000000000000,15,2011
30,Grijalva-Usumacinta,102465,1703.110000000000,73316.000000000000,44080,117396.000000000000,83,2011
31,Yucatán Oeste,25443,1175.220000000000,707.000000000000,,707.000000000000,2,2011
32,Yucatán Norte,58135,1143.120000000000,0.000000000000,,0.000000000000,0,2011
33,Yucatán Este,38308,1210.340000000000,1109.000000000000,864,1973.000000000000,1,2011
34,Cuencas Cerradas del Norte,90829,298.380000000000,1701.000000000000,,1701.000000000000,22,2011
35,Mapimí,62639,291.760000000000,957.000000000000,,957.000000000000,6,2011
36,Nazas-Aguanaval,93032,393.100000000000,1912.000000000000,,1912.000000000000,16,2011
37,El Salado,87801,392.580000000000,2876.000000000000,,2876.000000000000,8,2011
1,B.C. Noroeste,28492,249.000000000000,358.968000000000,,358.968000000000,16,2010
2,B.C. Centro-Oeste,44314,103.000000000000,448.970000000000,,448.970000000000,16,2010
3,B.C. Suroeste,29722,184.000000000000,318.378000000000,,318.378000000000,15,2010
4,B.C. Noreste,14418,190.000000000000,105.149000000000,,105.149000000000,8,2010
5,B.C. Centro-Este,13626,101.000000000000,53.454000000000,,53.454000000000,15,2010
6,B.C. Sureste,11558,274.000000000000,218.503000000000,,218.503000000000,14,2010
7,Río Colorado,6911,107.000000000000,79.950000000000,1850,1930.150000000000,4,2010
8,Sonora Norte,61429,304.000000000000,138.990000000000,,138.990000000000,5,2010
9,Sonora Sur,139370,505.000000000000,4934.460000000001,,4934.460000000001,16,2010
10,Sinaloa,103483,713.000000000000,14350.419000000002,,14350.419000000002,23,2010
11,Presidio-San Pedro,51717,818.000000000000,8299.223000000000,,8299.223000000000,23,2010
12,Lerma-Santiago,132916,723.000000000000,13210.770000000002,,13210.770000000002,59,2010
13,Río Huicicila,5225,1387.000000000000,1277.240000000000,,1277.240000000000,6,2010
14,Río Ameca,12255,1020.000000000000,2235.460000000000,,2235.460000000000,9,2010
15,Costa de Jalisco,12967,1175.000000000000,3683.750000000000,,3683.750000000000,11,2010
16,Armería-Coahuayana,17628,908.000000000000,3985.450000000000,,3985.450000000000,10,2010
17,Costa de Michoacán,9205,888.000000000000,1612.430000000000,,1612.430000000000,6,2010
18,Balsas,118268,952.000000000000,17056.500000000000,,17056.500000000000,15,2010
19,Costa Grande de Guerrero,12132,1234.000000000000,6090.650000000000,,6090.650000000000,28,2010
20,Costa Chica de Guerrero,39936,1391.000000000000,18713.549999999999,,18713.549999999999,32,2010
21,Costa de Oaxaca,10514,967.000000000000,3389.220000000000,,3389.220000000000,19,2010
22,Tehuantepec,16363,821.000000000000,2606.220000000000,,2606.220000000000,15,2010
23,Costa de Chiapas,12293,2347.000000000000,12617.260000000000,1586,14203.260000000000,25,2010
24,Bravo-Conchos,229740,453.000000000000,5587.700000000000,-431,5155.980000000000,37,2010
25,San Fernando-Soto la Marina,54961,757.000000000000,4841.660000000000,,4841.660000000000,45,2010
26,Pánuco,96989,892.000000000000,20329.540000000005,,20329.540000000005,77,2010
27,Norte de Veracruz (Tuxpan-Nautla),26592,1427.000000000000,14305.726000000001,,14305.726000000001,12,2010
28,Papaloapan,57355,1460.000000000000,48176.489999999998,,48176.489999999998,18,2010
29,Coatzacoalcos,30217,1946.000000000000,39481.580000000002,,39481.580000000002,15,2010
30,Grijalva-Usumacinta,102465,1709.000000000000,73315.810000000012,44080,117396.010000000010,83,2010
31,Yucatán Oeste,25443,1229.000000000000,706.760000000000,,706.760000000000,2,2010
32,Yucatán Norte,58135,1091.000000000000,0.000000000000,,0.000000000000,0,2010
33,Yucatán Este,38308,1243.000000000000,1109.140000000000,864,1973.540000000000,1,2010
34,Cuencas Cerradas del Norte,90829,404.000000000000,1701.380000000000,,1701.380000000000,22,2010
35,Mapimí,62639,361.000000000000,957.390000000000,,957.390000000000,6,2010
36,Nazas-Aguanaval,93032,425.000000000000,1911.590000000000,,1911.590000000000,16,2010
37,El Salado,87801,431.000000000000,2876.160000000000,,2876.160000000000,8,2010
1,B.C. Noroeste,28492,249.000000000000,359.000000000000,,359.000000000000,16,2009
2,B.C. Centro-Oeste,44314,103.000000000000,449.000000000000,,449.000000000000,16,2009
3,B.C. Suroeste,29722,184.000000000000,318.400000000000,,318.400000000000,15,2009
4,B.C. Noreste,14418,190.000000000000,105.100000000000,,105.100000000000,8,2009
