CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
1026,TEPEZALA,1962-2015,,TEPEZALA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO SAN PEDRO,RIO SAN PEDRO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,13,25,102,10,8,2110.2,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO SAN PEDRO""",22.223611,-102.168889
1027,VENADERO (DGE),1949-2015,,JESUS MARIA,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO MORCINIQUE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,52,38,102,27,48,2025.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.877222,-102.463333
1028,VILLA JUAREZ,1949-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,6,3,102,4,4,1999.3,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.100833,-102.067778
1029,ASIENTOS,"1959-2013, 2015",,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA SAN PABLO Y OTRAS,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,14,23,102,5,20,2162.8,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA SAN PABLO Y OTRAS""",22.239722,-102.088889
1030,AGUASCALIENTES,1947-2015,,AGUASCALIENTES,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,44,102,18,31,1888.7,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.895556,-102.308611
1031,EL NOVILLO,"1972-2013, 2015",,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,1,8,101,59,57,2042.6,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",22.018889,-101.999167
1032,LAS FRAGUAS,1971-2015,,ASIENTOS,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO CHICALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,22,2,21,101,53,33,2086,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",22.039167,-101.8925
1033,LOS CONOS,1971-2015,,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,RIO ENCARNACION,RIO ENCARNACION,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,52,101,59,33,2025.9,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO ENCARNACION""",21.897778,-101.9925
1034,SANDOVALES,1972-2015,,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,53,6,102,6,33,2007,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.885,-102.109167
1035,SAN FRANCISCO DE LOS VIVEROS,1972-1983,,EL LLANO,AGUASCALIENTES,LERMA SANTIAGO PACIFICO,PRESA EL NIAGARA,RIO AGUASCALIENTES,CLIMATOLOGICA,CONAGUA-DGE,SUSPENDIDA,21,54,43,102,7,48,2020,"""TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO PRESA EL NIAGARA""",21.911944,-102.13
