id_rh,anio,vmae,vaeas,dma,p,Nombre_rh,Area_Km2,PrecipitacionNormal,EscurrimientoNaturalMedioSuperficial,ImportacionesExportacionesOtrosPaises,EscurrimientoNaturalMedioSuperficialTotal,No_Cuencas
5,2006,32.491,0.724,28.52,28.519668433439854,B.C. Centro-Este,13626,192.5375147,53.5,0,53.5,0
5,2007,32.491,0.724,28.52,28.519668433439854,B.C. Centro-Este,13626,100.4775667,53.5,0,53.5,15
5,2008,32.491,0.724,28.52,28.519668433439854,B.C. Centro-Este,13626,101.33253262,53.5,0,53.5,15
5,2009,32.491,0.724,28.52,28.519668433439854,B.C. Centro-Este,13626,101,53.5,0,53.5,15
5,2010,32.491,0.724,28.52,28.519668433439854,B.C. Centro-Este,13626,101,53.454,0,53.454,15
5,2011,54.381,0.7681666666666667,48.190000000000005,48.176976326776064,B.C. Centro-Este,13626,131.82,101,0,101,15
5,2012,54.381,0.7681666666666667,48.190000000000005,48.176976326776064,B.C. Centro-Este,13626,131.82,100.9,0,100.9,15
5,2013,54.381,0.752,48.190000000000005,48.193271705183065,B.C. Centro-Este,13626,131.82,100.93,0,100.93,15
5,2014,54.381,0.752,48.190000000000005,48.193271705183065,B.C. Centro-Este,13626,131.82,100.9,0,100.9,15
5,2015,54.381,0.752,48.190000000000005,48.193271705183065,B.C. Centro-Este,13626,131.82,100.9,0,100.9,15
5,2016,51.718999999999994,0.758,45.787,45.79132346390195,B.C. Centro-Este,13626,132,95.201549464597,0,95.201549464597,15
5,2017,51.718999999999994,0.758,45.787,45.79132346390195,B.C. Centro-Este,13626,132,95.201549464597,0,95.201549464597,15
5,2018,51.718999999999994,0.758,45.787,45.79132346390195,B.C. Centro-Este,13626,131.82,95.201549464598,0,95.201549464598,15
5,2019,51.719,0.758,45.787,45.79132346390196,B.C. Centro-Este,13626,132,95.201549464598,0,95.201549464598,15
5,2020,57.063,1.034,50.321999999999996,50.32292777465184,NA,NA,NA,NA,0,NA,NA
