CLAVE,NOMBRE,PERIODO DE DATOS,CLAVE_OMM,MUNICIPIO,ESTADO,ORG_CUENCA,CUENCA,SUBCUENCA,TIPO_EST,ORGANISMO,SITUACION,LATG,LATM,LATS,LONG,LONM,LONS,ALTURA,OBSERVACIONES,LAT_DGRADO,LONG_DGRADO
11076,PRESA SOLIS,1961-2015,NA,ACAMBARO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 4,RIO SOLIS-SALAMANCA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,3,14,100,40,22,1901,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 4",20.053889,-100.672778
11077,TARANDACUAO,"1941-1949, 1951-1967, 1969-2014",NA,PENJAMO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 6,PRESA SOLIS,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,18,20,101,46,58,1708,"TENÍA ERRÓNEO EL NOMBRE DEL MUNICIPIO, SIENDO EL CORRECTO PENJAMO; TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 6",20.305556,-101.782778
11078,TARIMORO,1966-2014,NA,TARANDACUAO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 3,RIO SOLIS-SALAMANCA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,19,59,51,100,30,44,1937,"TENÍA ERRÓNEO EL NOMBRE DEL MUNICIPIO, SIENDO EL CORRECTO TARANDACUAO; TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 3",19.9975,-100.512222
11079,VALLE DE SANTIAGO,"1922-1930, 1941-2014",NA,VALLE DE SANTIAGO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 4,RIO SOLIS-SALAMANCA,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,22,58,101,10,44,1790,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 4",20.382778,-101.178889
11082,VILLA VICTORIA (DGE),"1987-1993, 1995-2014",NA,VICTORIA,GUANAJUATO,GOLFO NORTE,RÍO  VICTORIA,RIO EXTORAZ,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,12,47,100,13,12,1759,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO VICTORIA",21.213056,-100.22
11089,SILAO (SMN),"1924-1937, 1939-1946, 1948-1949, 1951-1985",NA,SILAO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 5,RIO GUANAJUATO,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,20,57,0,101,26,0,1777,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 5",20.95,-101.433333
11094,GUANAJUATO (DGE),1969-2014,NA,GUANAJUATO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 5,RIO GUANAJUATO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,0,53,101,15,58,1995,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 5",21.014722,-101.266111
11095,LEON (DGE),"1946-1949, 1951-1957, 1959-2014",NA,LEON,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 5,RIO TURBIO-PRESA EL PAPALOTE,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,8,10,101,41,56,1828,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 5",21.136111,-101.698889
11096,SALAMANCA,"1941-1949, 1951-2014",NA,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LA LAJA 1,RIO SALAMANCA-RIO ANGULO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,21,4,11,101,1,44,2239,"TENÍA ERRÓNEO EL NOMBRE DEL MUNICIPIO, SIENDO EL CORRECTO DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL; TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LA LAJA 1",21.069722,-101.028889
11098,SANTA CRUZ JUVENTINO ROSAS (SMN),"1924-1956, 1961-1985",NA,SANTA CRUZ DE JUVENTINO ROSAS,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LA LAJA 2,RIO LAJA-CELAYA,CLIMATOLOGICA,CONAGUA-SMN,SUSPENDIDA,20,39,0,101,0,0,1756,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LA LAJA 2",20.65,-101
11105,AMECHE,"1974-1983, 1986-2015",NA,APASEO EL GRANDE,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  QUERETARO,RIO APASEO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,33,13,100,34,58,1780,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO QUERETARO",20.553611,-100.582778
11124,EL CHAPIN,1977-2014,NA,GUANAJUATO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 5,RIO GUANAJUATO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,52,19,101,14,40,1853,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 5",20.871944,-101.244444
11134,EL CONEJO,1977-2014,NA,IRAPUATO,GUANAJUATO,LERMA SANTIAGO PACIFICO,RÍO  LERMA 5,RIO GUANAJUATO,CLIMATOLOGICA,CONAGUA-DGE,OPERANDO,20,42,57,101,22,11,1740,"TENÍA ERRÓNEO EL NOMBRE DE LA  CUENCA, SIENDO EL CORRECTO RIO LERMA 5",20.715833,-101.369722
